Time,Open,High,Low,Close,Volume
1.70925E+12,61203.3,61842.2,61199.4,61575.3,
1.70925E+12,61575.3,61648.2,61190.1,61294.4,
1.70926E+12,61294.4,61294.4,60855,61063.9,
1.70926E+12,61063.9,61318.3,60844.8,61183.4,
1.70927E+12,61183.4,61623.7,61135,61613.1,
1.70927E+12,61615.2,61634.5,61364.6,61385.9,
1.70927E+12,61385.9,61856.7,61275.8,61625.8,
1.70928E+12,61625.8,61844.8,61435.2,61485.8,
1.70928E+12,61485.9,62332,61385.5,61980,
1.70928E+12,61980,62270.1,61915,62200.1,
1.70929E+12,62200.1,62263.6,61921.3,62055,
1.70929E+12,62055.1,62175.3,61875,61927.7,
1.70929E+12,61927.7,62650.5,61918.4,62291.4,
1.7093E+12,62291.5,62750,62249.1,62510.2,
1.7093E+12,62510.2,62539.7,61585.1,62009.7,
1.70931E+12,62009.7,62234,61200,61335.3,
1.70931E+12,61335.4,61700.1,61312.1,61490,
1.70931E+12,61490,62172.2,61490,61977,
1.70932E+12,61976.9,62556.3,61889,62402.8,
1.70932E+12,62402.7,62434.3,62030.2,62270.5,
1.70932E+12,62270.5,63199,62270.5,62936.9,
1.70933E+12,62936.9,62961,62352.6,62565.4,
1.70933E+12,62565.5,62730.5,62359.9,62534,
1.70933E+12,62534.1,62796,62388,62430.6,
1.70934E+12,62430.6,62496,62167.3,62371.1,
1.70934E+12,62371.1,62379.6,62004,62089,
1.70934E+12,62088.9,62286,62004.6,62180,
1.70935E+12,62180.1,62513.1,62088,62374.3,
1.70935E+12,62374.4,62380,62100,62100,
1.70936E+12,62100,62150,61820,62072.4,
1.70936E+12,62072.4,62337.1,62000,62020,
1.70936E+12,62019.9,62102,61870,62071.9,
1.70937E+12,62071.9,62217.7,61850,62026.8,
1.70937E+12,62026.8,62073.2,61711.5,61914.1,
1.70937E+12,61914.2,62107.1,61889,61988.9,
1.70938E+12,61989,62130,61900,61900,
1.70938E+12,61900,62248.2,61894.2,62156,
1.70938E+12,62156,62156,61863.9,61864,
1.70939E+12,61864,61976.6,61605,61889.9,
1.70939E+12,61889.9,62049.8,61791.9,61834.5,
1.7094E+12,61834.5,61950,61700,61932.9,
1.7094E+12,61932.8,62020,61814.5,61836.7,
1.7094E+12,61836.6,62110.6,61816,62099.9,
1.70941E+12,62099.9,62189.6,62012.4,62185.3,
1.70941E+12,62185.3,62276.6,61810.3,61929.4,
1.70941E+12,61929.5,62086,61882.5,61967.3,
1.70942E+12,61967.4,62009.9,61720,61724.3,
1.70942E+12,61724.2,62128,61724.2,62039.9,
1.70942E+12,62039.9,62055.6,61791.8,61799,
1.70943E+12,61799,61974.5,61794.6,61856.9,
1.70943E+12,61856.8,61867.9,61700,61867.9,
1.70943E+12,61867.8,62072.4,61841.7,61997.1,
1.70944E+12,61997.1,62181.2,61958.3,62085,
1.70944E+12,62085,62112.3,61944.8,61954.8,
1.70945E+12,61954.8,62112.8,61811.3,61927.2,
1.70945E+12,61927.4,61950,61339.5,61641,
1.70945E+12,61641,61776.9,61452.3,61662.3,
1.70946E+12,61662.3,61963,61615.9,61782.2,
1.70946E+12,61782.2,61876.2,61667.5,61724,
1.70946E+12,61724,61900,61690,61900,
1.70947E+12,61900,62720,61885.6,62244.1,
1.70947E+12,62244.2,62480.7,62000.4,62450,
1.70947E+12,62449.9,62493.9,62145.4,62145.4,
1.70948E+12,62145.5,62320,62140.7,62210.7,
1.70948E+12,62210.8,62929.9,62141,62901.8,
1.70949E+12,62901.8,63079,62523.3,62635.8,
